,player_name,MaySpin,AugustSpin,%Difference
226,"Mayers, Mike",2389.616666666667,2197.030150753769,-8.06
227,"Mayza, Tim",2080.3815789473683,2096.850393700787,0.79
228,"McClanahan, Shane",2312.3526011560693,2384.554794520548,3.1199999999999997
229,"McCullers Jr., Lance",2295.2681704260654,2445.0664505672607,6.529999999999999
230,"McGee, Jake",2215.5578231292516,2012.7525252525252,-9.15
231,"McGowin, Kyle",2669.4736842105262,2554.8,-4.3
232,"McHugh, Collin",2622.7391304347825,2642.586956521739,0.76
233,"McKenzie, Triston",2170.378723404255,2216.6525198938994,2.13
234,"Means, John",2387.041214750542,2320.6075388026607,-2.78
235,"Mejía, J.C.",2163.948051948052,2257.3333333333335,4.32
236,"Melancon, Mark",2338.747252747253,2347.7457627118642,0.38
237,"Middleton, Keynan",2390.3829787234044,2280.265060240964,-4.61
238,"Mikolas, Miles",2292.101694915254,2274.8125,-0.75
239,"Miley, Wade",2133.70725388601,2092.7218683651804,-1.92
240,"Mills, Alec",2217.7395833333335,2168.205188679245,-2.23
241,"Mills, Wyatt",2084.2208588957055,2115.5757575757575,1.5
242,"Milner, Hoby",1963.6666666666667,1890.111111111111,-3.75
243,"Minaya, Juan",1908.6153846153845,1943.1965811965813,1.81
244,"Minor, Mike",2523.7430555555557,2503.528350515464,-0.8
245,"Minter, A.J.",2375.4709677419355,2333.619834710744,-1.76
246,"Misiewicz, Anthony",2584.623595505618,2361.51968503937,-8.63
247,"Mize, Casey",2157.140724946695,1970.5717821782177,-8.649999999999999
248,"Montas, Frankie",2380.31569664903,2104.62932790224,-11.58
249,"Montero, Rafael",2175.7259615384614,2308.7471264367814,6.11
250,"Montgomery, Jordan",2145.9285714285716,2082.9526813880125,-2.93
251,"Moore, Matt",2186.4566929133857,2191.8520547945204,0.25
252,"Morgan, Eli",2115.8,2202.9092872570195,4.12
253,"Morimando, Shawn",2252.1363636363635,2296.0344827586205,1.95
254,"Morton, Charlie",2544.29,2588.101818181818,1.72
255,"Musgrove, Joe",2604.902777777778,2776.8629032258063,6.6000000000000005
256,"Márquez, Germán",2284.5494791666665,2213.9603174603176,-3.09
257,"Neidert, Nick",2082.2948717948716,1985.2827586206897,-4.66
258,"Nelson, Nick",2112.9024390243903,1854.3846153846155,-12.24
259,"Neris, Héctor",1732.6584158415842,1911.5964125560538,10.33
260,"Nola, Aaron",2086.3702127659576,2197.328125,5.319999999999999
261,"Norris, Daniel",2091.937853107345,2111.934426229508,0.96
262,"Ober, Bailey",2313.109756097561,2138.6786632390745,-7.539999999999999
263,"Odorizzi, Jake",1969.9885057471265,1857.3665893271461,-5.72
